TimeStamp,Count
20080631,5
20080701,50
20080702,30
20080703,36
20080704,84
20080705,129
20080706,114
20080707,147
20080708,98
20080709,46
20080710,43
20080711,92
20080712,113
20080713,114
20080714,135
20080715,119
20080716,41
20080717,59
20080718,156
20080719,190
20080720,188
20080721,237
20080722,227
20080723,89
20080724,84
20080725,184
20080726,232
20080727,270
20080728,275
20080729,245
20080730,130
20080731,99
20080801,189
20080802,301
20080803,260
20080804,265
20080805,277
20080806,112
20080807,117
20080808,293
20080809,322
20080810,314
20080811,351
20080812,290
20080813,115
20080814,106
20080815,732
20080816,1157
20080817,1184
20080818,1049
20080819,977
20080820,350
20080821,294
20080822,734
20080823,838
20080824,824
20080825,815
20080826,747
20080827,274
20080828,258
20080829,605
20080830,676
20080901,641
20080902,658
20080903,554
20080904,227
20080905,232
20080906,530
20080907,618
20080908,686
20080909,677
20080910,591
20080911,198
20080912,197
20080913,529
20080914,633
20080915,570
20080916,617
20080917,551
20080918,209
20080919,193
20080920,500
20080921,616
20080922,638
20080923,587
20080924,528
20080925,222
20080926,221
20080927,446
20080928,596
20080929,606
20080930,562
20080931,506
20081001,144
20081002,197
20081003,489
20081004,602
20081005,554
20081006,659
20081007,576
20081008,207
20081009,221
20081010,546
20081011,531
20081012,625
20081013,552
20081014,535
20081015,237
20081016,211
20081017,529
20081018,615
20081019,606
20081020,619
20081021,576
20081022,219
20081023,210
20081024,515
20081025,579
20081026,562
20081027,401
20081028,363
20081029,214
20081030,203
20081101,479
20081102,572
20081103,579
20081104,603
20081105,527
20081106,228
20081107,216
20081108,500
20081109,571
20081110,594
20081111,599
20081112,505
20081113,225
20081114,189
20081115,526
20081116,570
20081117,582
20081118,581
20081119,489
20081120,185
20081121,185
20081122,417
20081123,429
20081124,296
20081125,128
20081126,179
20081127,182
20081128,184
20081129,367
20081130,457
20081131,328
20090001,199
20090002,386
20090003,247
20090004,287
20090005,484
20090006,612
20090007,654
20090008,635
20090009,601
20090010,279
20090011,339
20090012,627
20090013,680
20090014,678
20090015,718
20090016,610
20090017,310
20090018,306
20090019,645
20090020,687
20090021,709
20090022,669
20090023,682
20090024,293
20090025,278
20090026,629
20090027,706
20090028,702
20090029,732
20090030,654
20090031,320
20090101,298
20090102,630
20090103,739
20090104,806
20090105,814
20090106,720
20090107,352
20090108,319
20090109,735
20090110,807
20090111,829
20090112,918
20090113,731
20090114,296
20090115,313
20090116,623
20090117,751
20090118,790
20090119,778
20090120,705
20090121,332
20090122,381
20090123,748
20090124,812
20090125,829
20090126,892
20090127,798
20090128,339
20090201,335
20090202,701
20090203,867
20090204,846
20090205,814
20090206,747
20090207,344
20090208,356
20090209,775
20090210,816
20090211,790
20090212,840
20090213,809
20090214,376
20090215,349
20090216,800
20090217,793
20090218,810
20090219,781
20090220,808
20090221,356
20090222,309
20090223,798
20090224,849
20090225,901
20090226,836
20090227,799
20090228,393
20090229,355
20090230,798
20090231,831
20090301,888
20090302,916
20090303,783
20090304,372
20090305,372
20090306,770
20090307,896
20090308,906
20090309,833
20090310,582
20090311,377
20090312,338
20090313,662
20090314,778
20090315,882
20090316,848
20090317,863
20090318,376
20090319,397
20090320,855
20090321,983
20090322,918
20090323,897
20090324,818
20090325,441
20090326,398
20090327,837
20090328,970
20090329,932
20090330,1018
20090401,806
20090402,421
20090403,481
20090404,929
20090405,1054
20090406,1062
20090407,1145
20090408,1033
20090409,446
20090410,405
20090411,957
20090412,1110
20090413,1179
20090414,1138
20090415,1004
20090416,442
20090417,447
20090418,998
20090419,1143
20090420,1123
20090421,1074
20090422,986
20090423,462
20090424,434
20090425,747
20090426,1038
20090427,1174
20090428,1165
20090429,1054
20090430,488
20090431,454
20090501,948
20090502,1117
20090503,1171
20090504,1216
20090505,1020
20090506,456
20090507,436
20090508,1023
20090509,1184
20090510,1249
20090511,1211
20090512,1090
20090513,458
20090514,444
20090515,1076
20090516,1171
20090517,1211
20090518,1262
20090519,970
20090520,455
20090521,495
20090522,1097
20090523,1280
20090524,1257
20090525,1175
20090526,1128
20090527,465
20090528,499
20090529,1145
20090530,1255
20090601,1152
20090602,1205
20090603,849
20090604,429
20090605,396
20090606,1039
20090607,1279
20090608,1303
20090609,1298
20090610,1215
20090611,543
20090612,476
20090613,1187
20090614,1256
20090615,1374
20090616,1409
20090617,1210
20090618,584
20090619,524
20090620,1214
20090621,1323
20090622,1487
20090623,1433
20090624,1224
20090625,586
20090626,544
20090627,1234
20090628,1389
20090629,1445
20090630,1378
20090631,1244
20090701,546
20090702,511
20090703,1179
20090704,1235
20090705,1351
20090706,1409
20090707,1218
20090708,569
20090709,552
20090710,1231
20090711,1313
20090712,1369
20090713,1374
20090714,1273
20090715,509
20090716,566
20090717,1270
20090718,1419
20090719,1419
20090720,1460
20090721,1168
20090722,576
20090723,544
20090724,1267
20090725,1442
20090726,1517
20090727,1463
20090728,1289
20090729,607
20090730,616
20090731,1189
20090801,1261
20090802,1354
20090803,1427
20090804,1255
20090805,580
20090806,572
20090807,1043
20090808,1393
20090809,1408
20090810,1394
20090811,1291
20090812,589
20090813,619
20090814,1270
20090815,1381
20090816,1379
20090817,1399
20090818,1225
20090819,585
20090820,592
20090821,1239
20090822,1413
20090823,1402
20090824,1349
20090825,1237
20090826,556
20090827,591
20090828,1178
20090829,1371
20090830,1417
20090901,1359
20090902,1231
20090903,674
20090904,610
20090905,1279
20090906,1456
20090907,1456
20090908,1538
20090909,1281
20090910,632
20090911,634
20090912,1328
20090913,1498
20090914,1463
20090915,1437
20090916,1227
20090917,606
20090918,632
20090919,1307
20090920,1530
20090921,1507
20090922,1535
20090923,1402
20090924,694
20090925,683
20090926,1352
20090927,1555
20090928,1549
20090929,1533
20090930,1363
20090931,731
20091001,646
20091002,1360
20091003,1493
20091004,1615
20091005,1621
20091006,1507
20091007,742
20091008,769
20091009,1512
20091010,1728
20091011,1629
20091012,1695
20091013,1475
20091014,816
20091015,749
20091016,1535
20091017,1659
20091018,1727
20091019,1772
20091020,1483
20091021,765
20091022,735
20091023,1549
20091024,1639
20091025,1733
20091026,1335
20091027,1142
20091028,739
20091029,734
20091030,1500
20091101,1623
20091102,1733
20091103,1643
20091104,1517
20091105,796
20091106,700
20091107,1542
20091108,1622
20091109,1646
20091110,1704
20091111,1536
20091112,760
20091113,738
20091114,1476
20091115,1680
20091116,1749
20091117,1629
20091118,1402
20091119,710
20091120,689
20091121,1408
20091122,1542
20091123,1436
20091124,958
20091125,501
20091126,537
20091127,666
20091128,1130
20091129,1321
20091130,1304
20091131,1008
20100001,626
20100002,764
20100003,781
20100004,1551
20100005,1623
20100006,1769
20100007,1842
20100008,1646
20100009,894
20100010,927
20100011,1633
20100012,1856
20100013,1947
20100014,1837
20100015,1725
20100016,953
20100017,915
20100018,1734
20100019,1956
20100020,1930
20100021,2021
20100022,1777
20100023,959
20100024,1034
20100025,1800
20100026,1770
20100027,1949
20100028,1911
20100029,1845
20100030,955
20100031,1023
20100101,1797
20100102,2009
20100103,1979
20100104,1954
20100105,1789
20100106,932
20100107,886
20100108,1749
20100109,1979
20100110,2051
20100111,1926
20100112,1835
20100113,953
20100114,928
20100115,1662
20100116,1926
20100117,2097
20100118,2025
20100119,1863
20100120,958
20100121,950
20100122,1901
20100123,1977
20100124,2072
20100125,2013
20100126,1774
20100127,970
20100128,940
20100201,1778
20100202,2008
20100203,2125
20100204,2063
20100205,1875
20100206,980
20100207,1012
20100208,1925
20100209,2048
20100210,2105
20100211,2090
20100212,1815
20100213,1040
20100214,979
20100215,1840
20100216,2060
20100217,2043
20100218,1964
20100219,1859
20100220,1019
20100221,999
20100222,1890
20100223,2093
20100224,2063
20100225,2064
20100226,1876
20100227,991
20100228,998
20100229,1856
20100230,1966
20100231,2003
20100301,1827
20100302,1401
20100303,858
20100304,860
20100305,1517
20100306,1914
20100307,2066
20100308,2027
20100309,1950
20100310,981
20100311,978
20100312,1875
20100313,2119
20100314,2112
20100315,2145
20100316,1879
20100317,1012
20100318,1042
20100319,1948
20100320,2121
20100321,2169
20100322,2237
20100323,1980
20100324,1078
20100325,1016
20100326,2010
20100327,2212
20100328,2158
20100329,2031
20100330,1809
20100401,961
20100402,953
20100403,1789
20100404,2076
20100405,2118
20100406,2106
20100407,1848
20100408,1005
20100409,967
20100410,2000
20100411,2130
20100412,2248
20100413,2012
20100414,1930
20100415,962
20100416,1059
20100417,2114
20100418,2196
20100419,2191
20100420,2308
20100421,2021
20100422,1038
20100423,1026
20100424,1940
20100425,2158
20100426,2311
20100427,2220
20100428,1925
20100429,1084
20100430,990
20100431,1656
20100501,2148
20100502,2296
20100503,2258
20100504,2135
20100505,1099
20100506,1053
20100507,2142
20100508,2296
20100509,2365
20100510,2390
20100511,2078
20100512,987
20100513,1070
20100514,2042
20100515,2264
20100516,2263
20100517,2304
20100518,1967
20100519,1079
20100520,1052
20100521,2192
20100522,2365
20100523,2274
20100524,2272
20100525,2051
20100526,978
20100527,966
20100528,2143
20100529,2398
20100530,2420
20100601,2270
20100602,2000
20100603,990
20100604,921
20100605,1747
20100606,2306
20100607,2424
20100608,2484
20100609,2236
20100610,1130
20100611,1075
20100612,2322
20100613,2548
20100614,2562
20100615,2590
20100616,2380
20100617,1174
20100618,1062
20100619,2313
20100620,2601
20100621,2605
20100622,2621
20100623,2379
20100624,1128
20100625,1119
20100626,2361
20100627,2478
20100628,2655
20100629,2631
20100630,2310
20100631,1129
20100701,1100
20100702,2415
20100703,2460
20100704,2631
20100705,2584
20100706,2351
20100707,1057
20100708,1146
20100709,2452
20100710,2591
20100711,2558
20100712,2654
20100713,2359
20100714,1195
20100715,1185
20100716,2462
20100717,2688
20100718,2724
20100719,2731
20100720,2289
20100721,1091
20100722,1265
20100723,2435
20100724,2603
20100725,2554
20100726,2668
20100727,2347
20100728,1133
20100729,1157
20100730,2227
20100731,2490
20100801,2564
20100802,2562
20100803,2295
20100804,1191
20100805,1091
20100806,1958
20100807,2429
20100808,2667
20100809,2407
20100810,2208
20100811,1132
20100812,1114
20100813,2389
20100814,2473
20100815,2619
20100816,2565
20100817,2340
20100818,1215
20100819,1120
20100820,2400
20100821,2517
20100822,2554
20100823,2451
20100824,2391
20100825,1204
20100826,1234
20100827,2374
20100828,2595
20100829,2525
20100830,2498
20100901,2253
20100902,1220
20100903,1171
20100904,2305
20100905,2482
20100906,2661
20100907,2581
20100908,2383
20100909,960
20100910,1285
20100911,2341
20100912,2586
20100913,2641
20100914,2729
20100915,2336
20100916,1221
20100917,1251
20100918,2437
20100919,2643
20100920,2702
20100921,2785
20100922,2506
20100923,1392
20100924,1270
20100925,2491
20100926,2622
20100927,2800
20100928,2662
20100929,2412
20100930,1307
20100931,1320
20101001,2381
20101002,2543
20101003,2705
20101004,2712
20101005,2375
20101006,1345
20101007,1332
20101008,2564
20101009,3090
20101010,2888
20101011,2905
20101012,2652
20101013,1539
20101014,1449
20101015,2699
20101016,2854
20101017,2833
20101018,2998
20101019,2683
20101020,1514
20101021,1525
20101022,2874
20101023,3056
20101024,2891
20101025,2569
20101026,2134
20101027,1551
20101028,1469
20101029,2679
20101030,2973
20101101,2969
20101102,3082
20101103,2754
20101104,1581
20101105,1608
20101106,2857
20101107,3054
20101108,3009
20101109,3027
20101110,2795
20101111,1526
20101112,1455
20101113,2811
20101114,3063
20101115,3015
20101116,2979
20101117,2551
20101118,1421
20101119,1450
20101120,2642
20101121,2779
20101122,2806
20101123,2386
20101124,1518
20101125,1037
20101126,1107
20101127,2010
20101128,2243
20101129,2416
20101130,2329
20101131,1556
20110001,1005
20110002,1351
20110003,2341
20110004,2852
20110005,3097
20110006,3094
20110007,2914
20110008,1574
20110009,1637
20110010,2991
20110011,3270
20110012,3311
20110013,3335
20110014,2970
20110015,1631
20110016,1760
20110017,3074
20110018,3239
20110019,3430
20110020,3483
20110021,3193
20110022,1854
20110023,1719
20110024,3262
20110025,3376
20110026,3253
20110027,3469
20110028,3141
20110029,1774
20110030,1772
20110031,3253
20110101,3404
20110102,3473
20110103,3537
20110104,3096
20110105,1897
20110106,1907
20110107,3322
20110108,3519
20110109,3580
20110110,3592
20110111,3304
20110112,1807
20110113,1858
20110114,3292
20110115,3592
20110116,3758
20110117,3721
20110118,3354
20110119,1872
20110120,1965
20110121,3477
20110122,3869
20110123,3977
20110124,3808
20110125,3445
20110126,1921
20110127,1864
20110128,3503
20110201,3705
20110202,3838
20110203,3757
20110204,3560
20110205,2038
20110206,1976
20110207,3686
20110208,3864
20110209,4106
20110210,3911
20110211,3537
20110212,1915
20110213,2007
20110214,3779
20110215,3922
20110216,4017
20110217,3880
20110218,3566
20110219,1963
20110220,1995
20110221,3703
20110222,4161
20110223,4098
20110224,3939
20110225,3514
20110226,1990
20110227,2115
20110228,3784
20110229,4007
20110230,3868
20110231,4078
20110301,3499
20110302,1941
20110303,2010
20110304,3681
20110305,4173
20110306,4243
20110307,4186
20110308,3679
20110309,2017
20110310,2012
20110311,3920
20110312,4166
20110313,4089
20110314,4086
20110315,3626
20110316,2074
20110317,2045
20110318,3800
20110319,4143
20110320,4148
20110321,3767
20110322,2976
20110323,1982
20110324,1838
20110325,3123
20110326,3921
20110327,4246
20110328,4123
20110329,3496
20110330,2081
20110401,2088
20110402,3449
20110403,3919
20110404,4119
20110405,4197
20110406,3744
20110407,1978
20110408,1914
20110409,3794
20110410,4171
20110411,4266
20110412,4143
20110413,3820
20110414,1946
20110415,1936
20110416,3803
20110417,4035
20110418,4136
20110419,4066
20110420,3721
20110421,1907
20110422,1924
20110423,3852
20110424,4089
20110425,4167
20110426,4219
20110427,3570
20110428,1847
20110429,1812
20110430,3153
20110431,3850
20110501,4151
20110502,3733
20110503,3552
20110504,1889
20110505,1973
20110506,3841
20110507,3941
20110508,4113
20110509,4194
20110510,3670
20110511,1803
20110512,1861
20110513,3666
20110514,4019
20110515,4194
20110516,4199
20110517,3699
20110518,2003
20110519,1828
20110520,3904
20110521,4252
20110522,4265
20110523,4131
20110524,3675
20110525,1852
20110526,1849
20110527,3814
20110528,4101
20110529,4197
20110530,4056
20110601,3433
20110602,1761
20110603,1802
20110604,3216
20110605,3969
20110606,4198
20110607,4253
20110608,3869
20110609,1912
20110610,1878
20110611,4092
20110612,4303
20110613,4280
20110614,4302
20110615,3794
20110616,1943
20110617,1910
20110618,3990
20110619,4325
20110620,4237
20110621,4254
20110622,3834
20110623,1967
20110624,1906
20110625,3964
20110626,4279
20110627,4402
20110628,4280
20110629,3810
20110630,1924
20110631,1909
20110701,3880
20110702,4301
20110703,4336
20110704,4586
20110705,4024
20110706,1782
20110707,1979
20110708,4000
20110709,4343
20110710,4464
20110711,4490
20110712,3931
20110713,1932
20110714,1930
20110715,3568
20110716,4244
20110717,4324
20110718,4301
20110719,3924
20110720,2060
20110721,1976
20110722,3853
20110723,4213
20110724,4381
20110725,4401
20110726,3804
20110727,1944
20110728,1969
20110729,3689
20110730,4020
20110731,4099
20110801,3924
20110802,3685
20110803,1872
20110804,1888
20110805,3309
